country , January,February,December,total vaccination,vaccin percent,,,,,,,,
Albania,3662,6420,,10082,0.001079652,, ,,,,,,
Algeria,30,75576,,75606,0.008096428,,,,,,,,
Andorra ,6666,,,6666,0.000713843,,,,,,,,
Anguilla,,4130,,4130,0.00044227,,,,,,,,
Argentina,3842795,12163222,32713,16038730,1.717541304,,,,,,,,
Australia,2673199,7971063,,10644262,1.139863296,,,,,,,,
Azerbaijan,,65000,,65000,0.006960662,,,,,,,,
Behrain,2673199,5234525,413121,8320845,0.891055275,,,,,,,,
Bangladesh,593,15000052,,15000645,1.606375777,,,,,,,,
Barbados,,97663,,97663,0.010458449,,,,,,,,
Belarus,,20944,,20944,0.002242833,,,,,,,,
Belgium,4164351,11891794,2160,16058305,1.719637534,,,,,,,,
Barmuda,9494,32150,,41644,0.004459536,,,,,,,,
Bolivia,236,15890,,16126,0.001726887,,,,,,,,
Brazil,11441704,108671464,,120113168,12.86257248,,,,,,,,
Buulgaria ,600976,1794093,,2395069,0.256481026,,,,,,,,
Combodia,,9337,,9337,0.000999872,,,,,,,,
Canada,8403751,20604782,,29008533,3.106440073,,,,,,,,
Chile,1069766,38148553, ,39218319,4.199776588,,,,,,,,
chine,80767000,71720000,6000000,158487000,16.9719154,,,,,,,,
Columbia,,195462,,195462,0.020931461,,,,,,,,
Denmark,4823439,8542391,122366,13488196,1.444411979,,,,,,,, 
England,113808625,273675482,1471309,388955416,41.65211288,,,,,,,,
France,17353137,59787506, ,77140643,8.260768812,,,,,,,,
Germany,37932637,,474745,38407382,4.112935685,,,,,,,,
,,,,, ,,,,,,,,
